,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
58,4,10.0,0.0013132999993104022,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0],10,512,10,exponential,10,,0.001,9.99993433521563,0.005
59,8,4.0,0.0020203999993100297,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0],10,512,10,exponential,10,,0.001,9.999898980510284,0.005
60,16,11.0,0.0033331999993606587,[0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 1 1 0 1 1 1],10,512,10,exponential,10,,0.001,9.999833341388802,0.005
61,32,12.0,0.00568329999987327,[0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 0 1 1 0],10,512,10,exponential,10,,0.001,9.999715839037455,0.005
62,64,11.0,0.010035899999820685,[0 1 0 1 0 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 1],10,512,10,exponential,10,,0.001,9.999498217589709,0.005
63,128,11.0,0.018812099999195198,[0 0 1 0 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 1 1],10,512,10,exponential,10,,0.001,9.999059439235541,0.005
64,256,11.0,0.03795529999933933,[0 0 0 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1],10,512,10,exponential,10,,0.001,9.998102415064242,0.005
65,512,17.0,0.07302049999998417,[1 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 1 0 1 0],10,512,10,exponential,10,,0.001,9.996349641418071,0.005
66,0,11.0,0.00010110000039276201,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],100,512,100,geometric,100,0.99,0.001,99.99989839115575,
67,1,10.0,0.0004152999999860185,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0],100,512,100,geometric,100,0.99,0.001,99.99958261042309,
68,2,12.0,0.0007148000004235655,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0],100,512,100,geometric,100,0.99,0.001,99.99928160457324,
69,4,11.0,0.0011463999999250518,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],100,512,100,geometric,100,0.99,0.001,99.99884783613528,
70,8,4.0,0.0019054000003961846,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1],100,512,100,geometric,100,0.99,0.001,99.99808502734192,
71,16,7.0,0.0030882999999448657,[1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 1 1 0],100,512,100,geometric,100,0.99,0.001,99.9968962029472,
72,32,7.0,0.005566200000430399,[1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 1 0 0],100,512,100,geometric,100,0.99,0.001,99.99440593853025,
73,64,13.0,0.01017850000062026,[1 0 1 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0],100,512,100,geometric,100,0.99,0.001,99.98977078887037,
74,128,13.0,0.01908510000066599,[1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0],100,512,100,geometric,100,0.99,0.001,99.98082067298769,
75,256,6.0,0.037171800000578514,[0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 0],100,512,100,geometric,100,0.99,0.001,99.96264807014238,
76,512,12.0,0.07372960000066087,[0 1 1 0 1 0 1 0 0 1 1 0 1 1 1 0 1 0 0 0 0],100,512,100,geometric,100,0.99,0.001,99.92592672357146,
77,0,11.0,0.00015309999980672728,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],100,512,100,arithmetic,100,0.0001,0.001,99.99999998469,
78,1,10.0,0.00046629999997094274,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0],100,512,100,arithmetic,100,0.0001,0.001,99.99999995337,
79,2,12.0,0.0007486999993489007,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0],100,512,100,arithmetic,100,0.0001,0.001,99.99999992513,
80,4,11.0,0.0019150999996782048,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],100,512,100,arithmetic,100,0.0001,0.001,99.99999980849,
