,Iteration,Fitness,Time,State,current_restart,max_iters,Restarts
189,2,17.0,0.0031459000001632376,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],0,512,15
190,4,16.0,0.005175499999495514,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 18  1 11  5  1 20  0],0,512,15
191,8,16.0,0.00776659999974072,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 18  1 11  5  1 20  0],0,512,15
192,16,16.0,0.012326799999755167,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 18  1 11  5  1 20  0],0,512,15
193,32,12.0,0.023341500000242377,[ 6 19 14 10  7 20  6 18 10  3 20  3  7  2 12  1 11  5  1 20 16],0,512,15
194,64,9.0,0.04093170000032842,[ 4 19 14 10  7 20  6 18 10  3 20  3  7  2 12  1 11  5 17 20 16],0,512,15
195,128,6.0,0.07159109999975044,[ 4 19 14 10  7 20  6  0 10  3 20  3  9  2 12  1 11  5 17 20 16],0,512,15
196,256,4.0,0.13633260000005976,[ 4 19  8 10  7 14  6  0 10  3 20  3  9  2 12  1 11  5 17 20 16],0,512,15
197,512,2.0,0.26951310000004014,[ 4 19  8 10  7 14  6  0 10 20 15  3  9  2 12  1 11  5 17 20 16],0,512,15
198,0,19.0,0.2712076999996498,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,15
199,1,19.0,0.2725063999996564,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,15
200,2,19.0,0.27361019999989367,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,15
201,4,19.0,0.2752791000002617,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,15
202,8,19.0,0.27796419999958744,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,15
203,16,16.0,0.28331019999950513,[17 20 16  6 16 19  8 16 19 10 16  6  0 12  4 18 16 12 15  7 18],1,512,15
204,32,9.0,0.2933800999999221,[17 20 13  6 16 19  8  1 19 10 16  6  0 12  4 19 16 12 15 11 18],1,512,15
205,64,8.0,0.30879749999985506,[17 20 13  6 16 19  8  1 19 10 16 17  0 12  4 19 16 12 15 11 18],1,512,15
206,128,6.0,0.3421189000000595,[17 20 13  6 16 19  8  1 18 10  1 17  0 12  4 19 16 12 15 11 18],1,512,15
207,256,6.0,0.40729910000027303,[17 20 13  6 16 19  8  1 18 10  1 17  0 12  4 19 16 12 15 11 18],1,512,15
