,Iteration,Fitness,Time,State,pop_size,keep_pct,max_iters,Population Size,Keep Percent
98,512,20.0,1.0615146999998615,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
99,0,11.0,0.0007519000000684173,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],300,0.4,512,300,0.4
100,1,17.0,0.251564000000144,[1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.],300,0.4,512,300,0.4
101,2,18.0,0.5287750999996206,[1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.4,512,300,0.4
102,4,20.0,1.033821199999693,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
103,8,20.0,1.033821199999693,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
104,16,20.0,1.033821199999693,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
105,32,20.0,1.033821199999693,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
106,64,20.0,1.033821199999693,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
107,128,20.0,1.033821199999693,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
108,256,20.0,1.033821199999693,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
109,512,20.0,1.033821199999693,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
110,0,11.0,0.0010458999995535123,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],300,0.6,512,300,0.6
111,1,16.0,0.22447300000021642,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1.],300,0.6,512,300,0.6
112,2,17.0,0.45251159999952506,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0.],300,0.6,512,300,0.6
113,4,18.0,0.8521559000000707,[1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1.],300,0.6,512,300,0.6
114,8,19.0,1.5877704999993512,[1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.6,512,300,0.6
115,16,20.0,1.7867212000001018,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.6,512,300,0.6
116,32,20.0,1.7867212000001018,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.6,512,300,0.6
